Stimuli,GPT Temp 0,GPT Temp .5,GPT Temp 1,GPT Continuous Temp 0,GPT Continuous Temp .5,GPT Continuous Temp 1,Class,Humans Continuous,SD,N,EAT,USF,Both,LSA,Numletts,Gfrqs,Log_gfrqs,W1frq,W2frq,Wordfrq_sum,Logw1frq,Logw2frq,Logwordfrq_sum
the dog puppy., Makes Sense,Makes Sense, Makes Sense,4,4,4,-1,1.86,1.19,29,0,0.115,0.06,0.76,8,11906,4.08,1285,87,1372,3.11,1.94,5.05
the baby teeth., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,3.82,0.48,28,0,0,0,0.19,9,36451,4.56,3281,1396,4677,3.52,3.14,6.66
the dress summer., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,1,1.24,27,0,0,0,0.18,11,592,2.77,1516,2165,3681,3.18,3.34,6.52
the boot car., Nonsense, Nonsense, Nonsense,2,1,2,-1,0.71,0.98,28,0.01,0,0,0.18,7,1101,3.04,159,4944,5103,2.2,3.69,5.9
the pig truck., Nonsense, Nonsense, Nonsense,2,2,2,1,1.93,1.56,29,0,0,0,0.21,8,324,2.51,320,444,764,2.51,2.65,5.15
the boy cabin., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.62,0.86,29,0,0,0,0.29,8,216,2.34,3876,485,4361,3.59,2.69,6.27
the heart guy., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,1,1.02,28,0,0,0,0.07,8,400,2.6,2597,465,3062,3.41,2.67,6.08
the helmet mirror., Nonsense, Nonsense, Nonsense,2,2,2,1,1.29,1.65,28,0,0,0,0.1,12,510,2.71,166,735,901,2.22,2.87,5.09
the field square., Nonsense, Nonsense, Nonsense,2,2,2,-1,1.18,1.52,28,0,0,0,0.11,11,403,2.61,2327,1652,3979,3.37,3.22,6.58
the pen pig., Nonsense, Nonsense, Nonsense,2,1,2,-1,1.07,1.25,28,0.01,0,0,0.43,6,509,2.71,349,320,669,2.54,2.51,5.05
the bike barn., Nonsense, Nonsense, Nonsense,2,2,2,1,1.43,1.43,28,0,0,0,0.12,8,386,2.59,153,186,339,2.18,2.27,4.45
the mother goose., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,3.93,0.26,28,0.02,0.02,0.02,0.37,11,11941,4.08,7356,107,7463,3.87,2.03,5.9
the car clown., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.79,0.88,28,0,0,0,0.02,8,215,2.33,4944,58,5002,3.69,1.76,5.46
the flag rainbow., Makes Sense, Makes Sense, Nonsense,2,2,2,-1,0.75,1,28,0,0,0,0.16,11,93,1.97,356,101,457,2.55,2,4.56
the juice pickle., Makes Sense, Makes Sense, Nonsense,2,2,2,-1,0.86,1.15,28,0,0,0,0.29,11,44,1.65,365,46,411,2.56,1.66,4.23
the tennis star., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,4,0,28,0.01,0,0,0.11,10,47232,4.67,398,952,1350,2.6,2.98,5.58
