Stim,Bard,Bard 0 or 1,Bard Continuous,GPT-3.5,GPT-3.5 0 or 1,GPT-3.5 Continuous,GPT-4,GPT-4 0 or 1,GPT-4 Continuous
the alcohol blood.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,2
the alcohol screen.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,1
the alligator mouth.,Makes Sense,1,2,Nonsense,0,3,Makes Sense,1,3
the alligator skin.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,3
the ankle bracelet.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4
the ant fire.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the ant hill.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the ant queen.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,4
the ape baby.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the ape blood.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,1
the ape body.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the ape stage.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the apple butter.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4
the apple cake.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the apple candy.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the apple cider.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4
the apple juice.,Makes Sense,1,4,Makes Sense,1,2,Makes Sense,1,4
the apple pie.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the apple tomato.,Nonsense,0,1,Makes Sense,1,3,Nonsense,0,0
the apple tree.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the arm sword.,Nonsense,0,3,Nonsense,0,1,Nonsense,0,1
the army bomb.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,3
the army book.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the army field.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the army helmet.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4
the army hospital.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the army jacket.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the army knife.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4
the army radio.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the army truck.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the army wife.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,2
the arrow orange.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the automobile engine.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the automobile magazine.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the automobile street.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1
the autumn leaf.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the autumn sun.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the axe rope.,Nonsense,0,2,Nonsense,0,1,Nonsense,0,1
the baby ape.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,2
the baby bird.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,2
the baby book.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,3
the baby bottle.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the baby boy.,Makes Sense,1,2,Makes Sense,1,4,Makes Sense,1,4
the baby bullet.,Makes Sense,1,1,Makes Sense,1,2,Nonsense,0,1
the baby clothes.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the baby corn.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the baby crocodile.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,3
the baby face.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,2
the baby goat.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,2
the baby gorilla.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,2
the baby milk.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4
the baby picture.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the baby rabbit.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4
the baby sister.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the baby squirrel.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the baby teeth.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3
the bag body.,Nonsense,0,2,Nonsense,0,1,Nonsense,0,1
the bag book.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the bag chair.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1
the bag dime.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the bag flea.,Makes Sense,1,1,Makes Sense,1,3,Nonsense,0,1
the bag gun.,Makes Sense,1,1,Nonsense,0,2,Nonsense,0,1
the bag gym.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,3
the bag nut.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1
the bag onion.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the bag school.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the bag soup.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,1
the bag trash.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the bag truck.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the baker book.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the ball beach.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the ball cap.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,1
the ball field.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the ball fire.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the ball golf.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the ball orange.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,1
the ball tree.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,0
the ball winter.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,1
the ball yarn.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the ballet school.,Makes Sense,1,3,Nonsense,0,2,Makes Sense,1,4
the banana gold.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the banana ice.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2
the banana leaf.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,2
the banana nut.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3
the banana pie.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the banana plant.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,1
the banana skin.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,3
the banana tree.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the barn bike.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the barn cat.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2
the barn door.,Nonsense,0,2,Makes Sense,1,4,Makes Sense,1,4
the barn horse.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,4
the beach ball.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the beach chair.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,4
the beach house.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the beach picture.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
